ID;Unidade regional;UF;Município;Serviço;N° Fistel;N° da Estacao;Latitude da Estação;Longitude da Estação
236;GR01;SP;Rio Claro;Limitado Privado - Prestação a terceiros;50446137898;1015266174;-22,419868;-47,56745
237;GR01;SP;Rio Claro;Limitado Privado - Prestação a terceiros;50446137898;1015265950;-22,402346;-47,567936
238;GR01;SP;Rio Claro;Limitado Privado - Prestação a terceiros;50446137898;1015266050;-22,39469;-47,573177
239;GR01;SP;Rio Claro;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;50413009769;1003171564;-22,411861;-47,571278
240;GR01;SP;Rio Claro;Limitado Privado - Prestação a terceiros;50446137898;1015265933;-22,412096;-47,570736
241;GR01;SP;Rio Claro;Limitado Privado - Prestação a terceiros;50446137898;1015266220;-22,38266;-47,549255
242;GR01;SP;Rio Claro;Limitado Privado - Prestação a terceiros;50446137898;1015266000;-22,420284;-47,5638
243;GR01;SP;Rio Claro;Limitado Privado - Prestação a terceiros;50446137898;1015266077;-22,432938;-47,58255
244;GR01;SP;Rio Claro;Limitado Privado - Prestação a terceiros;50446137898;1015266204;-22,406849;-47,570755
245;GR01;SP;Rio Claro;Limitado Privado - Prestação a terceiros;50446137898;1015265941;-22,4115;-47,56251
246;GR01;SP;Rio Claro;Limitado Privado - Prestação a terceiros;50446137898;1015266263;-22,413828;-47,56225
247;GR01;SP;Rio Claro;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;2022644832;2424142;-22,413055;-47,5625
248;GR01;SP;Rio Claro;Limitado Privado;50002731177;1012696283;-22,429375;-47,60292
249;GR01;SP;Rio Claro;Limitado Privado;50417179405;1007382969;-22,430002;-47,60335
