ID;Unidade regional;UF;Município;Serviço;N° Fistel;N° da Estacao;Latitude da Estação;Longitude da Estação;Data da Medição;Valor Medido (V/m);Latitude do maior valor Medido;Longitude do maior valor Medido;N° de Medidas acima de 14 V/M;Justificativa (apenas para estações sem medições);Observações;Distância (km)
136;GR01;SP;Jundiaí;Limitado Privado;50417179405;1014455062;-23,1982;-46,876;;;;;;;Sem medição, sem justificativa;
137;GR01;SP;Jundiaí;Limitado Privado;50417179405;2630311;-23,19861;-46,87639;;;;;;;Sem medição, sem justificativa;
138;GR01;SP;Jundiaí;Limitado Privado;50417179405;613571347;-23,223612;-46,878613;;;;;;;Sem medição, sem justificativa;
139;GR01;SP;Jundiaí;Limitado Privado;50437512908;1012606187;-23,196194;-46,89447;;;;;;;Sem medição, sem justificativa;
140;GR01;SP;Jundiaí;Limitado Privado;2020248816;1641042;-23,191668;-46,888058;;;;;;;Sem medição, sem justificativa;
141;GR01;SP;Lins;Radiodifusão Comunitária;50403597056;689322798;-21,678612;-49,7425;;;;;;;Sem medição, sem justificativa;
142;GR01;SP;Lins;Radiodifusão Sonora em Freqüência Modulada;2008004341;7803389;-21,6775;-49,765556;;;;;;;Sem medição, sem justificativa;
143;GR01;SP;Lins;Limitado Privado - Prestação a terceiros;50004466071;689899432;-21,67625;-49,766056;;;;;;;Sem medição, sem justificativa;
144;GR01;SP;Lins;Limitado Privado;50417179405;535653530;-21,679167;-49,7425;;;;;;;Sem medição, sem justificativa;
145;GR01;SP;Lins;Limitado Privado;2020378353;1000549183;-21,666805;-49,72889;;;;;;;Sem medição, sem justificativa;
146;GR01;SP;Lins;Limitado Privado;50417179405;696715724;-21,636944;-49,7325;;;;;;;Sem medição, sem justificativa;
147;GR01;SP;Lins;Limitado Privado;50417179405;535733143;-21,517778;-49,641388;;;;;;;Sem medição, sem justificativa;
148;GR01;SP;Lorena;Radiodifusão Sonora em Freqüência Modulada;2022888545;9149023;-22,744722;-45,111668;;;;;;;Sem medição, sem justificativa;
149;GR01;SP;Lorena;Radiodifusão Sonora em Freqüência Modulada;50403922739;696203367;-22,739159;-45,11165;;;;;;;Sem medição, sem justificativa;
150;GR01;SP;Lorena;SERVIÇO MOVEL PESSOAL;50010613854;683175483;-22,7334;-45,1197;;;;;;;Sem medição, sem justificativa;
151;GR01;SP;Lorena;SERVIÇO MOVEL PESSOAL;50409146447;535508;-22,7334;-45,1197;;;;;;;Sem medição, sem justificativa;
152;GR01;SP;Lorena;SERVIÇO MOVEL PESSOAL;50409105090;1007676148;-22,7334;-45,1197;;;;;;;Sem medição, sem justificativa;
153;GR01;SP;Lorena;SERVIÇO MOVEL PESSOAL;50010613854;683389041;-22,734583;-45,121834;;;;;;;Sem medição, sem justificativa;
154;GR01;SP;Lorena;Limitado Privado;2030098353;683669060;-22,734444;-45,11361;;;;;;;Sem medição, sem justificativa;
155;GR01;SP;Lorena;Limitado Privado;50417179405;535739362;-22,733889;-45,118057;;;;;;;Sem medição, sem justificativa;
156;GR01;SP;Lorena;Limitado Privado;50418766738;1015093474;-22,71637;-45,11294;;;;;;;Sem medição, sem justificativa;
157;GR01;SP;Lorena;Limitado Privado;50417179405;1015168415;-22,7325;-45,0947;;;;;;;Sem medição, sem justificativa;
158;GR01;SP;Lorena;Limitado Privado;50403450381;1012538602;-22,740667;-45,136944;;;;;;;Sem medição, sem justificativa;
159;GR01;SP;Lorena;Limitado Privado;2030098353;683669087;-22,743334;-45,11778;;;;;;;Sem medição, sem justificativa;
160;GR01;SP;Lorena;Limitado Privado;50418766738;1014515090;-22,73454;-45,122;;;;;;;Sem medição, sem justificativa;
161;GR01;SP;Pindamonhangaba;Radiodifusão Comunitária;50405986297;692226095;-22,922777;-45,3675;;;;;;;Sem medição, sem justificativa;
162;GR01;SP;Pindamonhangaba;Radiodifusão Sonora em Freqüência Modulada;2008029921;7805900;-22,766777;-45,52253;;;;;;;Sem medição, sem justificativa;
163;GR01;SP;Pindamonhangaba;Retransmissão de Radiodifusão de Sons e Imagens - Digital;50409284408;698715837;-22,766588;-45,52262;;;;;;;Sem medição, sem justificativa;
164;GR01;SP;Pindamonhangaba;Radiodifusão Comunitária;50401916502;687368790;-22,930555;-45,456112;;;;;;;Sem medição, sem justificativa;
165;GR01;SP;Pindamonhangaba;Retransmissão de Radiodifusão de Sons e Imagens - Digital;50409269603;1001545246;-22,953333;-45,46;;;;;;;Sem medição, sem justificativa;
166;GR01;SP;Pindamonhangaba;Radiodifusão Comunitária;50012299529;679343881;-22,916666;-45,359722;;;;;;;Sem medição, sem justificativa;
167;GR01;SP;Pindamonhangaba;SERVIÇO MOVEL PESSOAL;50010613854;683116339;-22,9246;-45,4613;;;;;;;Sem medição, sem justificativa;
168;GR01;SP;Pindamonhangaba;SERVIÇO MOVEL PESSOAL;50010613854;700044000;-22,9246;-45,4613;;;;;;;Sem medição, sem justificativa;
169;GR01;SP;Pindamonhangaba;SERVIÇO MOVEL PESSOAL;50409146447;399678611;-22,9246;-45,4613;;;;;;;Sem medição, sem justificativa;
170;GR01;SP;Pindamonhangaba;SERVIÇO MOVEL PESSOAL;50409105090;403139333;-22,9246;-45,4613;;;;;;;Sem medição, sem justificativa;
171;GR01;SP;Pindamonhangaba;SERVIÇO MOVEL PESSOAL;50409146447;1009667944;-22,9246;-45,4613;;;;;;;Sem medição, sem justificativa;
172;GR01;SP;Pindamonhangaba;Especial de Supervisão e Controle/Terceiros;50416687601;1007184741;-22,945555;-45,413612;;;;;;;Sem medição, sem justificativa;
173;GR01;SP;Pindamonhangaba;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;2031939386;3573770;-22,926111;-45,46361;;;;;;;Sem medição, sem justificativa;
174;GR01;SP;Pindamonhangaba;Especial de Supervisão e Controle/Terceiros;50416687601;1007184636;-22,92389;-45,463055;;;;;;;Sem medição, sem justificativa;
175;GR01;SP;Pindamonhangaba;Especial de Supervisão e Controle/Terceiros;50416687601;1007184431;-22,924723;-45,465;;;;;;;Sem medição, sem justificativa;
176;GR01;SP;Pindamonhangaba;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;50414550234;1003684405;-22,922222;-45,466667;;;;;;;Sem medição, sem justificativa;
177;GR01;SP;Pindamonhangaba;AUXILIAR RADIODIF.- TRANSMISS. DE PROGRAMAS;50412479788;1001666299;-22,925278;-45,460278;;;;;;;Sem medição, sem justificativa;
178;GR01;SP;Pindamonhangaba;Limitado Privado;50442105525;1014539967;-22,8705;-45,48169;;;;;;;Sem medição, sem justificativa;
179;GR01;SP;Pindamonhangaba;Limitado Privado;2033424456;690775890;-22,944166;-45,468933;;;;;;;Sem medição, sem justificativa;
